Transaction ID,Account ID,Date,Amount,Category,Merchant,Description
tx-2025-07-01-0001,1,2025-07-01,4166.67,Salary,Employer,July paycheck
tx-2025-07-02-0003,1,2025-07-02,-1650.00,Rent,Chicago Property Mgmt,July rent
tx-2025-07-05-0004,1,2025-07-05,-105.00,Transportation,CTA,Monthly pass
tx-2025-07-08-0008,1,2025-07-08,-78.50,Groceries,Mariano's,Weekly groceries
tx-2025-07-10-0007,1,2025-07-10,-583.33,Retirement,Fidelity,Roth IRA contribution
tx-2025-07-12-0010,1,2025-07-12,-45.00,Dining,Portillo's,Lunch with friends
tx-2025-07-15-0002,1,2025-07-15,4166.67,Salary,Employer,July paycheck
tx-2025-07-15-0005,1,2025-07-15,-89.99,Fitness,Equinox,Monthly membership
tx-2025-07-18-0012,1,2025-07-18,-84.30,Utilities,ComEd,Electric bill
tx-2025-07-19-0192,1,2025-07-19,-24.50,Transportation,Uber,Ride to Wrigleyville
tx-2025-07-20-0011,1,2025-07-20,-38.50,Dining,Sweetgreen,Lunches
tx-2025-07-22-0009,1,2025-07-22,-62.30,Groceries,Trader Joe's,Weekly groceries
tx-2025-07-25-0006,1,2025-07-25,-571.43,Debt Payment,Student Loans,July loan payment
tx-2025-07-28-0013,2,2025-07-28,14.67,Interest,Ally Bank,Monthly interest
tx-2025-08-01-0014,1,2025-08-01,4166.67,Salary,Employer,August paycheck
tx-2025-08-02-0016,1,2025-08-02,-1650.00,Rent,Chicago Property Mgmt,August rent
tx-2025-08-05-0017,1,2025-08-05,-105.00,Transportation,CTA,Monthly pass
tx-2025-08-08-0021,1,2025-08-08,-92.15,Groceries,Mariano's,Weekly groceries
tx-2025-08-10-0020,1,2025-08-10,-583.33,Retirement,Fidelity,Roth IRA contribution
tx-2025-08-12-0023,1,2025-08-12,-52.00,Dining,Big Star,Tacos and drinks
tx-2025-08-15-0015,1,2025-08-15,4166.67,Salary,Employer,August paycheck
tx-2025-08-15-0018,1,2025-08-15,-89.99,Fitness,Equinox,Monthly membership
tx-2025-08-16-0188,1,2025-08-16,-95.00,Entertainment,Lollapalooza,Festival ticket
tx-2025-08-18-0025,1,2025-08-18,-42.15,Utilities,Peoples Gas,Gas bill
tx-2025-08-20-0024,1,2025-08-20,-28.75,Dining,Intelligentsia,Coffee and pastry
tx-2025-08-22-0022,1,2025-08-22,-71.80,Groceries,Trader Joe's,Weekly groceries
tx-2025-08-25-0019,1,2025-08-25,-571.43,Debt Payment,Student Loans,August loan payment
tx-2025-08-28-0027,1,2025-08-28,-500.00,Transfer,Fidelity,Brokerage funding
tx-2025-08-28-0026,2,2025-08-28,14.67,Interest,Ally Bank,Monthly interest
tx-2025-08-28-0028,3,2025-08-28,-500.00,Investment,Fidelity,VOO purchase
tx-2025-08-28-0029,3,2025-08-28,42.50,Dividend,Vanguard,VOO quarterly dividend
tx-2025-09-01-0030,1,2025-09-01,4166.67,Salary,Employer,September paycheck
tx-2025-09-02-0032,1,2025-09-02,-1650.00,Rent,Chicago Property Mgmt,September rent
tx-2025-09-05-0033,1,2025-09-05,-105.00,Transportation,CTA,Monthly pass
